Country,Region,Specific Location,Address/Area,Phenomenon,Category,Cultural Origin,Earliest Date,Independent Account Types,Evidence Level,Visit Priority,Visit Type,Best For,Access Notes,Route Cluster,Route Stop,Official URL,Image URL,Image Credit,Source Quality,Latitude,Longitude,Coordinate Confidence,Notes
"New Mexico, USA","New Mexico, USA","Chaco Culture NHP, approx. 36.06, -107.96",,"Sacred/cultural landscape, archaeoastronomy",,,,0,0,0,,,,Southwest sacred/UAP route,0,,,,,34.5,-106,regional,
"Roswell, New Mexico, USA","Roswell, New Mexico, USA","Roswell UFO Museum, 114 N. Main St.",,UAP crash narrative,,,,0,0,0,,,,Southwest UAP route,0,,,,,34.5,-106,regional,
"Shag Harbour, Nova Scotia, Canada","Shag Harbour, Nova Scotia, Canada",Shag Harbour Interpretive Centre and UFO Gazebo,,UAP water-impact report,,,,0,0,0,,,,Atlantic Canada route,0,,,,,45,-63,regional,
"Gettysburg, Pennsylvania, USA","Gettysburg, Pennsylvania, USA","Gettysburg National Military Park, 1195 Baltimore Pike",,Battlefield haunting tradition,,,,0,0,0,,,,Mid-Atlantic/Appalachia,0,,,,,41.2,-77.2,regional,
"Salem, Massachusetts, USA","Salem, Massachusetts, USA","Salem Witch Trials sites, incl. Howard Street Cemetery",,Witch-trial hauntings,,,,0,0,0,,,,New England route,0,,,,,42.3,-71.8,regional,
"Weston, West Virginia, USA","Weston, West Virginia, USA",Trans-Allegheny Lunatic Asylum,,Institutional haunting,,,,0,0,0,,,,Appalachia route,0,,,,,37.5,-78.7,regional,
"Point Pleasant, West Virginia, USA","Point Pleasant, West Virginia, USA","Mothman Museum, 400 Main St.",,Cryptid/UAP-adjacent folklore,,,,0,0,0,,,,Appalachia cryptid route,0,,,,,37.5,-78.7,regional,
"Yucatan, Mexico","Yucatan, Mexico","Chichen-Itza / Sacred Cenote, 20.6827, -88.5687",,Sacred Maya anomaly tradition,,,,0,0,0,,,,Maya/Yucatan route,0,,,,,20.7,-89,regional,
"Mexico State, Mexico","Mexico State, Mexico","Teotihuacan, approx. 19.6925, -98.8438",,Sacred monumental landscape,,,,0,0,0,,,,Central Mexico route,0,,,,,,,unmapped,
"Collinsville, Illinois, USA","Collinsville, Illinois, USA","Cahokia Mounds, 30 Ramey St.",,Sacred/archaeological landscape,,,,0,0,0,,,,Mississippi Valley route,0,,,,,40,-89.2,regional,
"Peebles, Ohio, USA","Peebles, Ohio, USA","Serpent Mound, 3850 State Route 73",,"Effigy mound, sacred landscape",,,,0,0,0,,,,Ohio Valley route,0,,,,,40.4,-82.8,regional,
"San Jose, California, USA","San Jose, California, USA","Winchester Mystery House, 525 S. Winchester Blvd.",,Haunted architecture,,,,0,0,0,,,,California route,0,,,,,36.8,-119.4,regional,
"Philadelphia, Pennsylvania, USA","Philadelphia, Pennsylvania, USA",Eastern State Penitentiary,,Prison haunting,,,,0,0,0,,,,Mid-Atlantic route,0,,,,,41.2,-77.2,regional,
"San Francisco, California, USA","San Francisco, California, USA",Alcatraz Island,,"Prison hauntings, Indigenous occupation memory",,,,0,0,0,,,,California route,0,,,,,36.8,-119.4,regional,
"Marfa, Texas, USA","Marfa, Texas, USA",Marfa Lights Viewing Area,,Anomalous lights,,,,0,0,0,,,,Southwest desert route,0,,,,,31,-99.9,regional,
"Adams, Tennessee, USA","Adams, Tennessee, USA",Bell Witch Cave,,Poltergeist folklore,,,,0,0,0,,,,Appalachia route,0,,,,,35.8,-86.4,regional,
"Mexico City, Mexico","Mexico City, Mexico","Island of the Dolls, Xochimilco canals",,Haunted folk-art island,,,,0,0,0,,,,Central Mexico route,0,,,,,19.4,-99.1,regional,
"Bangor, Maine, USA","Bangor, Maine, USA","International Cryptozoology Museum, 490 Broadway",,Cryptid archive,,,,0,0,0,,,,New England route,0,,,,,45.3,-69,regional,
"British Columbia, Canada","British Columbia, Canada",Okanagan Lake / Kelowna waterfront,,Ogopogo/Nxaxaitkw lake tradition,,,,0,0,0,,,,Pacific Northwest/BC route,0,,,,,53.7,-124.7,regional,
"NC/VA, USA","NC/VA, USA",Blue Ridge Parkway overlooks,,Brown Mountain/ghost-light cluster,,,,0,0,0,,,,Appalachia route,0,,,,,,,unmapped,
USA,New England,"**The Witch House**, Salem, MA",310 1/2 Essex St.,Salem witch-trial memory; haunting folklore nearby,Haunted / folklore,,,0,0,0,Museum,Witch-trial history,Public house museum; respect memorial tone,New England,0,[The Witch House](https://www.thewitchhouse.org/) [7],,,Official site; National Geographic anchors Salem haunting context [1][7],42.5213,-70.8995,Address-geocoded,
USA,Appalachia,"**Trans-Allegheny Lunatic Asylum**, Weston, WV",71 Asylum Dr.,Historic asylum; ghost tours,Haunted,,,0,0,0,Guided historic/paranormal tour,"Dark history, architecture",No drones; interior temperature varies; book tours,Appalachia,0,[TALA](https://trans-alleghenylunaticasylum.com/) [8],,,Official site; National Geographic identifies it as a major haunted destination [1][8],39.0365,-80.4675,Address-geocoded,
USA,Ohio Valley,"**Mothman Museum**, Point Pleasant, WV",400 Main St.,1966 Mothman sightings and archive culture,Cryptid,,,0,0,0,Museum / town walk,Cryptid folklore,Open public hours; separate folklore from proof,Appalachia / Ohio River,0,[Mothman Museum](https://www.mothmanmuseum.com/) [9],,,Official museum plus WV tourism listing [9],38.8443,-82.1371,Address-geocoded,
USA,Southwest,"**International UFO Museum**, Roswell, NM",114 N. Main St.,1947 Roswell incident interpretation,UAP,,,0,0,0,Museum / archive,UAP historiography,Downtown museum; treat alien claims as contested,Southwest UAP Loop,0,[Roswell UFO Museum](https://www.roswellufomuseum.com/) [11],,,Official museum; best used with government-record review standards [4][5][11],33.3943,-104.523,Address-geocoded,
USA,Four Corners,"**Chaco Culture NHP**, NM","Chaco Canyon, Nageezi area","Sacred landscape, archaeoastronomy, anomalous-landscape narratives",Sacred / anomalous landscape,,,0,0,0,National park,"Archaeoastronomy, Puebloan history",Dirt-road access; avoid unsafe/private routes; tribal-land respect required,Southwest Sacred Landscape,0,[NPS Chaco](https://www.nps.gov/chcu/planyourvisit/directions.htm),,,NPS access/history; UNESCO cultural listing,36.0606,-107.961,Regional park centroid,
USA,Ohio River / Midwest,"**Serpent Mound**, Peebles, OH",3850 State Route 73,"Effigy mound, sacred landscape, debated dating",Sacred / folklore,,,0,0,0,Historic site,"Earthworks, Indigenous history",Limited hours; no trespass after gates close; drones prohibited,Great Lakes / Ohio Valley,0,[Ohio History](https://www.ohiohistory.org/visit/browse-historical-sites/serpent-mound/),,,Official heritage operator; age attribution remains debated,39.0256,-83.4307,Address-geocoded,
Canada,Northwest Territories,**Nahanni National Park Reserve**,South Nahanni River; Fort Simpson access office,"Dene oral history, disappearance traditions, remote landscape lore",Folklore / anomalous landscape,,,0,0,0,Remote park expedition,"Wilderness folklore, geology",No public roads; air or hike-in access; Indigenous co-management context,Northern Canada,0,[Parks Canada](https://parks.canada.ca/pn-np/nt/nahanni/visit),,,Parks Canada + UNESCO; high access risk,61.5472,-125.5894,UNESCO property coordinate,
Mexico,Central Mexico,"**Teotihuacan**, Estado de México",Archaeological zone NE of Mexico City,"Sacred city, symbolic geometry, later sacred-place traditions",Sacred / anomalous landscape,,,0,0,0,Archaeological site,Mesoamerican cosmology,Protected archaeological zone; use official paths and preservation rules,Central Mexico,0,[UNESCO](https://whc.unesco.org/en/list/414/),,,UNESCO gives mapped coordinates and sacred-city context,19.6917,-98.8417,UNESCO coordinate,
