chunk_id,source_id,source_type,chunk_index,start_offset,end_offset,source_title,source_url,text
"87d5e27955f6","b31f9bd2667a","snapshot",0,0,1087,"Feminism, Civil Rights, and Liberalism in the 1960s","https://doi.org/10.5406/illinois/9780252036965.003.0005","Feminism, Civil Rights, and Liberalism in the 1960s

This chapter charts the impressive leap that African American women made into national arenas of political power starting in the early 1960s. Racial discrimination and social injustices in jobs, housing, education, and politics—problems that women had been fighting for the past four decades—were now raised before leaders of the liberal political establishment at the national level. When time passed and many of the changes women hoped for were not forthcoming, women did what they had done in the past: they utilized outside pressure groups and organized constituents to demand change and to hold leaders accountable. Additionally, these women, who had always understood their struggles for justice and equality through a prism of race, had to determine their individual and collective relationships to the burgeoning feminist movement they were helping usher in.

--- Metadata ---
doi: 10.5406/illinois/9780252036965.003.0005
journal: University of Illinois Press
year: 2017
authors: Julie A. Gallagher
type: book
source: crossref"
"60b6d04e8670","f3ee54d8f79b","snapshot",0,0,225,"Transforming “everydayness”: the formation and development of New Left movements in the 1960s","https://doi.org/10.4324/9780203069554-8","Transforming “everydayness”: the formation and development of New Left movements in the 1960s



--- Metadata ---
doi: 10.4324/9780203069554-8
journal: Japan's New Left Movements
year: 2013
type: book-chapter
source: crossref"
"e10a7f7329ee","24218fd76cdc","snapshot",0,0,143,"THE COUNTERCULTURE:","https://doi.org/10.2307/jj.5973158.11","THE COUNTERCULTURE:



--- Metadata ---
doi: 10.2307/jj.5973158.11
journal: A Generation Divided
year: 2023
type: book-chapter
source: crossref"
"5ff9ccd92b63","42ffefa647b9","snapshot",0,0,207,"The Counterculture: Left Meets Right","https://doi.org/10.1525/california/9780520217133.003.0006","The Counterculture: Left Meets Right



--- Metadata ---
doi: 10.1525/california/9780520217133.003.0006
journal: A Generation Divided
year: 1999
authors: Rebecca E. Klatch
type: book-chapter
source: crossref"
"b5d96e865295","3ede66314c53","snapshot",0,0,167,"5. The Counterculture: Left Meets Right","https://doi.org/10.1525/9780520922341-008","5. The Counterculture: Left Meets Right



--- Metadata ---
doi: 10.1525/9780520922341-008
journal: A Generation Divided
year: 1999
type: book-chapter
source: crossref"
"1b04c5845529","53be55490f27","snapshot",0,0,1817,"Fluid Antenna System: New Insights on Outage Probability and Diversity Gain","http://arxiv.org/abs/2301.00073v2","Fluid Antenna System: New Insights on Outage Probability and Diversity Gain

To enable innovative applications and services, both industry and academia are exploring new technologies for sixth generation (6G) communications. One of the promising candidates is fluid antenna system (FAS). Unlike existing systems, FAS is a novel communication technology where its antenna can freely change its position and shape within a given space. Compared to the traditional systems, this unique capability has the potential of providing higher diversity and interference-free communications. Nevertheless, the performance limits of FAS remain unclear as its system properties are difficult to analyze. To address this, we approximate the outage probability and diversity gain of FAS in closed-form expressions. We then propose a suboptimal FAS with $N^{*}$ ports, where a significant gain can be obtained over FAS with $N^{*}-1$ ports whilst FAS with $N^{*}+1$ ports only yields marginal improvement over the proposed suboptimal FAS. In this paper, we also provide analytical and simulation results to unfold the key factors that affect the performance of FAS. Limited to systems with one active radio frequency (RF)-chain, we show that the proposed suboptimal FAS outperforms single-antenna (SISO) system and selection combining (SC) system in terms of outage probability. Interestingly, when the given space is $\fracλ{2}$, the outage probability of the proposed suboptimal FAS with one active RF-chain achieves near to that of the maximal ratio combining (MRC) system with multiple active RF-chains.

--- Metadata ---
arxivId: 2301.
categories: cs.IT
pdfUrl: https://arxiv.org/pdf/2301.00073v2
year: 2022
authors: Wee Kiat New, Kai-Kit Wong, Hao Xu, Kin-Fai Tong, Chan-Byoung Chae
published: 2022-12-30T23:52:51Z
source: arxiv"
"4320cc806a97","81f128548a22","snapshot",0,0,1323,"On the structure of left and right F-, SM- and E-quasigroups","http://arxiv.org/abs/0811.1725v1","On the structure of left and right F-, SM- and E-quasigroups

It is proved that any left F-quasigroup is isomorphic to the direct product of a left F-quasigroup with a unique idempotent element and isotope of a special form of a left distributive quasigroup. The similar theorems are proved for right F-quasigroups, left and right SM- and E-quasigroups. Information on simple quasigroups from these quasigroup classes is given, for example, finite simple F-quasigroup is a simple group or a simple medial quasigroup. It is proved that any left F-quasigroup is isotopic to the direct product of a group and a left S-loop. Some properties of loop isotopes of F-quasigroups (including M-loops) are pointed out. A left special loop is an isotope of a left F-quasigroup if and only if this loop is isomorphic the direct product of a group and a left S-loop (this is an answer to Belousov ""1a"", problem). Any left FESM-quasigroup is isotopic to the direct product of an abelian group and a left S-loop (this is an answer to Kinyon-Phillips 2.8(2) problem). New proofs of some known results on the structure of commutative Moufang loops are presented.

--- Metadata ---
arxivId: 0811.
categories: math.GR
pdfUrl: https://arxiv.org/pdf/0811.1725v1
year: 2008
authors: V. A. Shcherbacov
published: 2008-11-11T15:46:30Z
source: arxiv"
"327160cce4dc","4d398782403c","snapshot",0,0,1113,"Towards a Systematic Taxonomy of Attacks against Space Infrastructures","http://arxiv.org/abs/2512.12829v2","Towards a Systematic Taxonomy of Attacks against Space Infrastructures

Space infrastructures represent an emerging domain that is critical to the global economy and society. However, this domain is vulnerable to attacks, including cyber attacks and other kinds of attacks. To enhance the resilience of this domain, we must understand these attacks that can be waged against it and the defenses that can be employed to mitigate these attacks. The status quo is that there is neither a systematic understanding of these attacks against, nor defenses for, space infrastructures, despite their clear importance in guiding systematic analysis of space security and future research. In this paper, we fill the void by proposing the first systematic taxonomy of attacks against, and defenses for, space infrastructures. We hope this paper will inspire a community effort at refining the taxonomy towards a widely used one.

--- Metadata ---
arxivId: 2512.
categories: cs.CR
pdfUrl: https://arxiv.org/pdf/2512.12829v2
year: 2025
authors: Jose Luis Castanon Remy, Shouhuai Xu
published: 2025-12-14T20:20:36Z
source: arxiv"
"1b723ed9a405","0ef32deb91b8","snapshot",0,0,1533,"A Dynamic Dirichlet Process Mixture Model for the Partisan Realignment of Civil Rights Issues in the U.S. House of Representatives","http://arxiv.org/abs/2502.17733v1","A Dynamic Dirichlet Process Mixture Model for the Partisan Realignment of Civil Rights Issues in the U.S. House of Representatives

Evolutionary societal changes often prompt a debate. The positions of the two major political parties in the United States on civil rights issues underwent a reversal in the 20th century. The conventional view holds that this shift was a structural break in the 1960s, driven by party elites, while recent studies argue that the change was a more gradual process that began as early as the 1930s, driven by local rank-and-file party members. Motivated by this controversy, this paper develops a nonparametric Bayesian model that incorporates a hidden Markov model into the Dirichlet process mixture model. A distinctive feature of the proposed approach is that it models a process in which multiple latent clusters emerge and diminish as a continuing process so that it uncovers any of steady, sudden, and repeated shifts in analysing longitudinal data. Our model estimates each party's positions on civil rights in each state based on the legislative activities of their Congressional members, identifying cross- and within-party coalitions over time. We find evidence of gradual racial realignment in the 20th century, with two periods of fast changes during the 1948 election and the Civil Rights Movement.

--- Metadata ---
arxivId: 2502.
categories: stat.AP
pdfUrl: https://arxiv.org/pdf/2502.17733v1
year: 2025
authors: Nuannuan Xiang, Yuki Shiraito
published: 2025-02-24T23:58:15Z
source: arxiv"
"b5e91305e02b","d0922e8adf47","snapshot",0,0,1048,"Left seminear-rings, groups semidirect products and left cancellative left semi-braces","http://arxiv.org/abs/2208.03490v2","Left seminear-rings, groups semidirect products and left cancellative left semi-braces

We study some relations between left cancellative left semi-braces and other existing algebraic structures. In particular, we show that every left semi-brace arises from a left seminear-ring, extending the correspondence given by Rump between skew left braces and left near-rings in \cite{rump2019set}. Moreover, we show a correspondence between certain groups semidirect products and left cancellative left semi-braces satisfying an additional hypothesis on the set of idempotents. As an application, we classify left cancellative left semi-braces of size $pq$ and $2p^2$ such that the set of idempotents $E$ is a Sylow subgroup of the multiplicative group. Finally, we study various type of nilpotency, recently introduced in \cite{catino2022nilpotency}, of these left semi-braces.

--- Metadata ---
arxivId: 2208.
categories: math.QA
pdfUrl: https://arxiv.org/pdf/2208.03490v2
year: 2022
authors: Marco Castelli
published: 2022-08-06T10:25:21Z
source: arxiv"
