Country,Region,Specific Location,Phenomenon,Category,Cultural Origin,Earliest Date,Independent Account Types,Evidence Level,Source Quality,Latitude,Longitude,Coordinate Confidence,Notes
United States,West Virginia,Point Pleasant / TNT area,Mothman,Cryptid / omen folklore,Appalachian modern folklore,1966,4,3,encyclopedia + Smithsonian/local archive,37.5,-78.7,regional,Stable event cluster; skeptical crane hypothesis; strong local archive.
United States,Arizona,Navajo Nation borderlands,Skinwalker-related accounts,Indigenous tradition / modern paranormal,Dine/Navajo; culturally sensitive,pre-contact / modern,2,1,outsider retellings need caution,34.3,-111.7,regional,Map only at coarse regional level; separate sacred tradition from internet claims.
United States,New Mexico,San Luis Valley / Dulce lore zone,UFO-paranormal overlap,UAP folklore,Southwestern UFO culture,1970s,3,2,books + witness databases,34.5,-106,regional,"Useful overlap zone, weak physical verification."
United States,Oregon,Columbia River / Cascades,Bigfoot/Sasquatch,Cryptid,Indigenous and settler wilderness traditions,1800s / 1920s media,4,3,folklore + databases,44,-120.5,regional,Cross-border Pacific Northwest cluster.
Canada,British Columbia,Vancouver Island / Coast ranges,Sasquatch,Cryptid,Indigenous and settler wilderness traditions,1800s / 1929 media,5,3,encyclopedia + regional accounts,53.7,-124.7,regional,"Strong recurrence pattern, weak physical proof."
Canada,Ontario,Great Lakes / northern forest,Windigo/Wendigo,Spiritual tradition / modern horror distortion,Algonquian-speaking First Nations,pre-contact / 19th c. writings,3,0,cultural encyclopedia,50,-85,regional,Treat primarily as tradition; avoid monster flattening.
Canada,Quebec,St. Lawrence corridor,Haunted roads and apparitions,Ghost / road folklore,French Canadian local folklore,1800s,2,2,local history likely needed,52.5,-71.5,regional,Candidate lane for newspaper/archive follow-up.
Mexico,Chihuahua,Copper Canyon / northern desert corridors,Bruja and witch-light reports,Folklore / luminous phenomena,Northern Mexican oral tradition,1800s,2,1,oral-history lead,28.6,-106.1,regional,Approximate cultural region; needs Spanish-language sources.
Mexico,Veracruz,Los Tuxtlas region,Nahual / shapeshifter accounts,Indigenous/Mesoamerican tradition,Nahua/regional traditions,pre-colonial,3,0,folklore scholarship needed,19.2,-96.1,regional,"Cultural-origin row, not proof row."
Mexico,Northern border states,Ranch and livestock zones,Chupacabra spread,Cryptid / media-era folklore,Latin American modern folklore,1995,4,2,Britannica + skeptical wildlife source,,,unmapped,Strong modern spread pattern; many animal cases explained by mange.
