Country,Region,Specific Location,Address/Area,Phenomenon,Category,Cultural Origin,Earliest Date,Independent Account Types,Evidence Level,Visit Priority,Visit Type,Best For,Access Notes,Route Cluster,Route Stop,Official URL,Image URL,Image Credit,Source Quality,Latitude,Longitude,Coordinate Confidence,Notes
United States,West Virginia,Mothman Museum,"400 Main St, Point Pleasant, WV",Mothman,Cryptid / modern legend,,,0,4,1,public museum,"archive trail, local legend economy, festival context",verify current hours and events,Appalachia / Ohio Valley,1,https://www.mothmanmuseum.com/,,,official museum page,38.8445,-82.1371,exact,"Treat as modern legend and local archive, not proof."
United States,Pennsylvania,Eastern State Penitentiary,"2027 Fairmount Ave, Philadelphia, PA",prison haunting tours,Public-history haunting,,,0,4,2,official historic-site tour,"architecture, incarceration history, preservation, haunted-tour framing",use official tickets and daytime history context first,Northeast history route,1,https://www.easternstate.org/,,,official historic-site page,39.9683,-75.1727,exact,Do not let ghost framing erase prison history.
United States,Pennsylvania,Gettysburg National Military Park,"Gettysburg, PA",battlefield ghost ecosystem,Public-history haunting,,,0,5,3,national park,"battlefield history, memory, trauma, later ghost-tour economy",use NPS interpretation before commercial ghost tours,Northeast history route,2,https://www.nps.gov/gett/index.htm,,,official NPS page,39.8309,-77.2311,exact,Respect memorial landscape and visitor rules.
United States,California,The Queen Mary,"1126 Queens Hwy, Long Beach, CA",ship haunting identity,Public-history haunting,,,0,4,4,historic ship / official tours,"shipboard history, visitor access, fixed haunted-tour setting",verify tour availability and access,Western architecture route,1,https://www.queenmary.com/experiences.htm,,,official venue page,33.7528,-118.19,exact,"Use as tourism/history context, not proof."
United States,Colorado,The Stanley Hotel,"333 Wonderview Ave, Estes Park, CO",hotel haunting / pop-culture legend,Mystery tourism,,,0,3,5,hotel / tours,"pop-culture amplification, architecture, hospitality setting",verify tour/lodging access,Western architecture route,2,https://www.stanleyhotel.com/,,,official hotel page,40.3836,-105.5186,exact,Separate literary association from evidence claim.
United States,Kentucky,Waverly Hills Sanatorium,"4400 Paralee Dr, Louisville, KY",sanatorium haunting,Public-history haunting,,,0,3,6,official tours,"medical history, isolation architecture, dark-tourism infrastructure",use official tours only,Appalachia / Ohio Valley,2,https://www.therealwaverlyhills.com/,,,official tour page,38.1302,-85.8412,exact,Treat death and illness context respectfully.
United States,California,Whaley House Museum,"2476 San Diego Ave, San Diego, CA",historic-house haunting,Historic house haunting,,,0,4,7,museum / tours,"compact urban stop, museum context, long-running ghost reputation",verify hours and official tours,California mystery route,1,https://whaleyhouse.org/,,,official museum page,32.7523,-117.1946,exact,Museum context matters more than viral ghost lists.
United States,California,Winchester Mystery House,"525 S Winchester Blvd, San Jose, CA",architectural mystery / haunting lore,Mystery tourism,,,0,4,8,official mansion tour,"architecture, biography, grief, guided mystery interpretation",use official tour options,California mystery route,2,https://winchestermysteryhouse.com/,,,official venue page,37.3184,-121.95,exact,Good for myth-making analysis.
United States,New Mexico,International UFO Museum and Research Center,"114 N Main St, Roswell, NM",Roswell UFO incident culture,UAP / modern legend,,,0,4,9,public museum,"archive culture, UAP tourism, town identity",verify exhibit hours,UAP and anomalous lights route,1,https://www.roswellufomuseum.com/,,,official museum page,33.3943,-104.5227,exact,"Treat as UAP culture and records trail, not proof."
United States,Texas,Marfa Lights Viewing Area,"US-90 east of Marfa, TX",Marfa Lights,Anomalous lights,,,0,3,10,public viewing area,"observation culture, landscape, recurring light reports",use official visitor guidance and safe viewing,UAP and anomalous lights route,2,https://visitmarfa.com/see-do/marfa-lights/,,,official visitor page,30.3095,-103.944,exact,Good for observation without trespass.
United States,California,Alcatraz Island,"San Francisco Bay, CA",prison-island atmosphere / ghost lore,Public-history haunting,,,0,5,11,national park,"prison history, island isolation, public-history interpretation",NPS ferry/ticket rules apply,California mystery route,3,https://www.nps.gov/alca/index.htm,,,official NPS page,37.8267,-122.423,exact,Lead with documented prison history.
Canada,Alberta,Head-Smashed-In Buffalo Jump,"Fort Macleod area, Alberta",cultural landscape and oral-history context,Cultural landscape,,,0,5,12,official interpretive centre,"respectful context, place memory, Indigenous public interpretation",use official interpretive guidance,Respectful cultural route,1,https://headsmashedin.ca/,,,official interpretive centre page,49.7336,-113.6253,exact,Not a paranormal attraction; include for respectful cultural framework.
Mexico,Mexico / Puebla,Iztaccihuatl-Popocatepetl National Park,Central Mexico volcanic corridor,volcano legend and sacred landscape,Cultural landscape / legend,,,0,4,13,national park / landscape,"landscape, mythology, volcano context, regional story","verify official access, safety, and closures",Respectful cultural route,2,https://www.gob.mx/semarnat/articulos/parque-nacional-iztaccihuatl-popocatepetl,,,official government page,19.0236,-98.627,exact,"Treat as cultural and landscape context, not monster tourism."
