"Rank","Country","Region","Location","AddressOrArea","Phenomenon","Category","EvidenceLevel","EvidenceLabel","VisitPriority","VisitLabel","RouteCluster","OfficialUrl","Latitude","Longitude","CoordinateConfidence","AccessNotes"
"1","USA","New Mexico","Chaco Culture National Historical Park","Chaco Canyon, Nageezi area","Sacred cultural landscape and archaeoastronomy","Sacred / anomalous landscape","5","Official/public records plus cultural significance","5","High; visit respectfully","Southwest sacred landscape","https://www.nps.gov/chcu/index.htm","36.0606","-107.961","Park coordinate","Dirt-road access; verify road conditions; tribal-land respect required"
"2","USA","New Mexico","International UFO Museum and Research Center","114 N. Main St., Roswell","1947 Roswell UAP crash narrative","UAP","3","Public records plus disputed lore","5","High","Southwest UAP route","https://www.roswellufomuseum.com/","33.3943","-104.523","Address-geocoded","Museum/archive stop; treat extraordinary claims as contested"
"3","Canada","Nova Scotia","Shag Harbour Interpretive Centre and UFO Gazebo","Shag Harbour, Nova Scotia","1967 UAP water-impact report","UAP","4","Official/public records and repeated accounts","5","High","Atlantic Canada route","https://shagharbourincident.wordpress.com/museum/","43.5028","-65.7277","Town/site approximate","Verify seasonal museum hours and coastal access"
"4","USA","Pennsylvania","Gettysburg National Military Park","1195 Baltimore Pike, Gettysburg","Battlefield haunting tradition","Haunted / battlefield folklore","5","Documented historic place plus folklore overlay","5","High","Mid-Atlantic / Appalachia","https://www.nps.gov/gett/index.htm","39.8309","-77.2311","Official park coordinate","Use NPS rules; separate battlefield history from ghost-tour claims"
"5","USA","Massachusetts","Salem witch-trials landscape","Salem, including Howard Street Cemetery and The Witch House","Witch-trial memory and haunting folklore","Haunted / folklore","5","Documented place plus repeated folklore","5","High","New England route","https://www.thewitchhouse.org/","42.5213","-70.8995","Address-geocoded","Respect memorial and cemetery settings; verify local hours"
"6","USA","West Virginia","Trans-Allegheny Lunatic Asylum","71 Asylum Dr., Weston","Historic asylum and ghost-tour tradition","Haunted","4","Documented place plus repeated accounts","5","High","Appalachia route","https://trans-alleghenylunaticasylum.com/","39.0365","-80.4675","Address-geocoded","Book tours; respect patient history; no drones"
"7","USA","West Virginia","Mothman Museum","400 Main St., Point Pleasant","1966 Mothman sightings and archive culture","Cryptid","3","Repeated accounts and local archive","5","High","Appalachia / Ohio River","https://www.mothmanmuseum.com/","38.8443","-82.1371","Address-geocoded","Use museum and public town stops; do not trespass in TNT areas"
"8","Mexico","Yucatan","Chichen Itza / Sacred Cenote","Yucatan, Mexico","Sacred Maya-Toltec center and anomaly traditions","Sacred / folklore","5","UNESCO documented place plus sacred tradition","5","High; cultural caution","Maya / Yucatan route","https://whc.unesco.org/en/list/483/","20.6829","-88.5686","UNESCO/site coordinate","Use official access; respect protected archaeological rules"
"9","Mexico","Mexico State","Teotihuacan","Archaeological zone northeast of Mexico City","Sacred monumental landscape and symbolic geometry","Sacred / anomalous landscape","5","UNESCO documented place plus sacred tradition","5","High; cultural caution","Central Mexico route","https://whc.unesco.org/en/list/414/","19.6925","-98.8438","UNESCO coordinate","Use official paths; protect archaeological features"
"10","USA","Illinois","Cahokia Mounds State Historic Site","30 Ramey St., Collinsville","Sacred/archaeological landscape","Sacred / archaeological","5","Documented public historic site","5","High","Mississippi Valley route","https://cahokiamounds.org/","38.6547","-90.0643","Address/site coordinate","Use official trails and preservation rules"
